1670741014314,6,5,2,0.8,0.1,0.1
1670741014814,7,9,2,0.8,0.1,0.1
1670741015314,10,10,3,0.8,0.1,0.1
1670741015814,19,14,3,0.8,0.1,0.1
1670741016315,23,20,4,0.8,0.1,0.1
1670741016815,28,23,5,0.8,0.1,0.1
1670741017315,36,23,6,0.8,0.1,0.1
1670741017815,37,25,7,0.8,0.1,0.1
1670741018316,42,27,7,0.8,0.1,0.1
1670741018816,49,28,8,0.8,0.1,0.1
1670741019316,52,31,8,0.8,0.1,0.1
1670741019816,58,32,8,0.8,0.1,0.1
1670741020317,63,34,8,0.8,0.1,0.1
1670741020817,69,36,9,0.8,0.1,0.1
1670741021317,73,38,11,0.8,0.1,0.1
1670741021817,74,40,11,0.8,0.1,0.1
1670741022318,76,42,11,0.8,0.1,0.1
1670741022818,82,44,11,0.8,0.1,0.1
1670741023318,85,44,13,0.8,0.1,0.1
1670741023818,92,45,15,0.8,0.1,0.1
1670741024319,99,49,16,0.8,0.1,0.1
1670741024819,103,52,17,0.8,0.1,0.1
1670741025319,107,56,17,0.8,0.1,0.1
1670741025819,111,60,17,0.8,0.1,0.1
1670741026320,116,62,17,0.8,0.1,0.1
1670741026820,123,63,18,0.8,0.1,0.1
1670741027320,126,66,18,0.8,0.1,0.1
1670741027820,128,67,20,0.8,0.1,0.1
1670741028321,131,69,20,0.8,0.1,0.1
1670741028821,136,71,20,0.8,0.1,0.1
1670741029321,142,73,21,0.8,0.1,0.1
1670741029821,143,79,21,0.8,0.1,0.1
1670741030322,147,82,22,0.8,0.1,0.1
1670741030822,149,85,22,0.8,0.1,0.1
1670741031322,157,86,22,0.8,0.1,0.1
1670741031822,162,90,22,0.8,0.1,0.1
1670741032323,169,91,22,0.8,0.1,0.1
1670741032823,174,93,25,0.8,0.1,0.1
1670741033323,178,97,26,0.8,0.1,0.1
1670741033823,184,100,26,0.8,0.1,0.1
1670741034324,189,103,26,0.8,0.1,0.1
1670741034824,193,104,26,0.8,0.1,0.1
1670741035324,195,104,28,0.8,0.1,0.1
1670741035824,198,105,28,0.8,0.1,0.1
1670741036325,202,109,29,0.8,0.1,0.1
1670741036825,207,109,31,0.8,0.1,0.1
1670741037325,211,111,31,0.8,0.1,0.1
1670741037825,214,111,31,0.8,0.1,0.1
1670741038326,218,111,32,0.8,0.1,0.1
1670741038826,219,111,33,0.8,0.1,0.1
1670741039326,229,112,33,0.8,0.1,0.1
1670741039826,233,113,33,0.8,0.1,0.1
1670741040326,234,116,34,0.8,0.1,0.1
1670741040827,236,118,34,0.8,0.1,0.1
1670741041327,241,122,34,0.8,0.1,0.1
1670741041827,243,124,35,0.8,0.1,0.1
1670741042327,247,127,35,0.8,0.1,0.1
1670741042828,251,128,37,0.8,0.1,0.1
1670741043328,256,133,39,0.8,0.1,0.1
1670741043828,259,136,39,0.8,0.1,0.1
1670741044328,264,138,39,0.8,0.1,0.1
1670741044828,264,140,38,0.8,0.1,0.1
1670741045329,263,140,38,0.8,0.1,0.1
1670741045829,256,142,37,0.8,0.1,0.1
1670741046329,256,142,38,0.8,0.1,0.1
1670741046829,253,142,39,0.8,0.1,0.1
1670741047329,250,144,40,0.8,0.1,0.1
1670741047830,244,143,40,0.8,0.1,0.1
1670741048330,239,143,39,0.8,0.1,0.1
1670741048830,235,143,41,0.8,0.1,0.1
1670741049330,229,143,40,0.8,0.1,0.1
1670741049831,225,146,39,0.8,0.1,0.1
1670741050331,224,149,38,0.8,0.1,0.1
1670741050831,224,151,39,0.8,0.1,0.1
1670741051331,221,151,40,0.8,0.1,0.1
1670741051832,221,153,40,0.8,0.1,0.1
1670741052332,215,153,39,0.8,0.1,0.1
1670741052832,211,156,38,0.8,0.1,0.1
